File,Count,Mean (KB),Std (KB),Min (KB),25% (KB),50% (KB),75% (KB),Max (KB)
log106_Messaging.txt,5702.0,11.267186951946686,12.724811857719843,4.0,4.0,4.0,12.5,128.0
log111_email.txt,2906.0,20.455953200275292,33.79407296111375,4.0,4.0,8.0,16.5,388.5
log121_Movie.txt,4781.0,27.279753189709265,21.621864805785318,4.0,12.0,28.0,28.0,512.0
log125_copyHtoD.txt,9278.0,466.28793921103687,1895.4818315036578,4.0,4.0,44.5,84.0,25192.5
log126_copyDtoH.txt,79065.0,49.69458040852463,46.19742783924415,4.0,28.0,28.0,48.0,256.0
log131_music.txt,6913.0,34.733111529003324,50.19715987758569,4.0,4.0,8.0,48.0,940.5
log132_radio.txt,5820.0,20.019243986254295,169.94055542306603,4.0,4.0,8.0,20.0,11164.5
log136_idle.txt,6932.0,17.84888920946336,56.316947798651775,4.0,4.0,4.0,16.0,1536.5
log146_callIn.txt,1491.0,18.414822266934944,73.27449395742501,4.0,4.0,8.0,20.5,1536.5
log147_callout.txt,1569.0,17.53027405991077,70.01754659812977,4.0,4.0,4.0,16.0,1536.5
log152_YouTube.txt,2080.0,13.842548076923077,36.71706286435357,4.0,4.0,4.0,12.5,1536.5
log156_download.txt,11670.0,62.6398029134533,349.18572421296625,4.0,4.0,4.0,12.5,4728.5
log161_cameraVideo.txt,9348.0,244.27283910997005,1137.6563029459262,4.0,4.0,16.0,64.0,10104.5
log166_webBrowsing.txt,4090.0,23.513691931540343,51.66586648040847,4.0,4.0,4.0,24.5,1536.5
log171_angrybird.txt,3215.0,29.52177293934681,108.85267610479569,4.0,4.0,8.0,32.5,3940.5
log176_Booting.txt,18417.0,53.33631970462073,255.91980997680025,0.5,4.0,16.0,92.0,20816.5
log181_Installing.txt,17952.0,92.21482286096257,672.4296795870233,4.0,4.0,4.0,16.5,22144.5
log186_twitter.txt,13807.0,13.670674295647135,30.723673060701717,4.0,4.0,4.0,12.5,2216.5
log191_facebook.txt,3897.0,25.062483962022068,80.84409196811278,4.0,4.0,4.0,20.0,2680.5
log196_Amazon.txt,3173.0,27.562874251497007,229.28013216556653,4.0,4.0,4.0,20.0,9204.5
log201_GoogleMap.txt,12603.0,15.749028009204158,87.56193748436564,4.0,4.0,8.0,12.0,8192.5
log202_GoogleMap.txt,6266.0,18.350702202361955,146.5452674640399,4.0,4.0,8.0,12.5,8192.5
log220_MusicWebBrowse.txt,13204.0,21.93740533171766,45.1486985957547,4.0,4.0,4.0,16.0,1544.5
log225_MusicFaceBook.txt,35136.0,12.632798269581057,37.83320120249194,4.0,4.0,4.0,8.0,2424.5
log225_MusicTwitter.txt,30057.0,10.089297002362178,31.141971289457164,4.0,4.0,4.0,8.0,2780.5
log230_MusicMessage.txt,16504.0,14.232246728065924,28.033495838852104,4.0,4.0,4.0,12.0,472.5
log235_RadioFaceBook.txt,10495.0,14.733539780848023,38.52973661449981,4.0,4.0,4.0,12.5,1368.5
log240_RadioMessage.txt,11101.0,13.660526078731646,23.797557302400893,4.0,4.0,4.0,12.5,1536.5
log245_MusicFaceBook.txt,35136.0,12.632798269581057,37.83320120249194,4.0,4.0,4.0,8.0,2424.5
log250_RadioWebBrowse.txt,11997.0,22.534550304242728,58.72931122026755,0.0,4.0,4.0,20.0,2716.5
log260_FaceBookHandOuts.txt,15601.0,11.780302544708672,19.396555398945406,4.0,4.0,4.0,12.5,732.5
